rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
HMR_4381	R00771	PGI		r0192		PGI	MNXR102535; MNXR106678	HMR_4381	RCR14185		0	MA_04381
HMR_4391	R01015	TPI	R01015C	r0243		TPI	MNXR104918	HMR_4391	RCR14186		0	MA_04391
HMR_4394	R00299	HEX1		r0353		HEX1	MNXR100612	HMR_4394	RCR10145		0	MA_04394
HMR_4396	R08639	PGMT	R00959C	r0621		PGMT	MNXR102528; MNXR102548	HMR_4396	RCR10146		0	MA_04396
HMR_4521	R00303	G6PPer		r0396		G6PPer	MNXR99912	HMR_4521	RCR11028		0	MA_04521
HMR_6410	R01699		R01699M	r0383		r0383	MNXR102427; MNXR107129	HMR_6410	RCR10446		0	MA_06410
HMR_6412	R02569		R02569C	r0555		r0555	MNXR102430; MNXR107584	HMR_6412	RCR14187		0	MA_06412
HMR_7745	R01602					HMR_7745	MNXR107082	HMR_7745	RCR10447		0	MA_07745
HMR_7746	R01600					HMR_7746	MNXR107081	HMR_7746	RCR10448		0	MA_07746
HMR_7747	R09086					HMR_7747	MNXR112530	HMR_7747	RCR10449		0	MA_07747
HMR_7748	R02739					HMR_7748	MNXR99911	HMR_7748	RCR10277		0	MA_07748
HMR_7749	R03321					HMR_7749	MNXR99910	HMR_7749	RCR14188		0	MA_07749
HMR_8360		CAt7r				CAT2p	MNXR96461	HMR_8360	RCR11029		0	MA_08360
HMR_8652		CBPS				CBPPer	MNXR96485	HMR_8652	RCR11030		0	MA_08652
HMR_8757		ETOHtx				ETOHMO	MNXR97980	HMR_8757	RCR11031		0	MA_08757
HMR_3989	R00028	MALTe		r0014		MALTe	MNXR101350	HMR_3989	RCR30246		0	MA_03989
HMR_4122	R00286	UDPGD	R00286C	r0092		UDPGD	MNXR105063	HMR_4122	RCR14189		0	MA_04122
HMR_4837	R00010	TREHe	R00010C	r0785		TREHe	MNXR95163	HMR_4837	RCR30496		0	MA_04837
HMR_5395	R03681			r1387		HMR_5395; GGNG		HMR_5395	RCR14190		0	MA_05395
HMR_5396		GLGNS1		r1388		GLGNS1	MNXR100244	HMR_5396	RCR14191		0	MA_05396
HMR_9727						HMR_9727		HMR_9727	RCR14192		0	MA_09727
HMR_5397		GLBRAN		r1389		GLBRAN	MNXR100154	HMR_5397	RCR11032		0	MA_05397
HMR_5398		GLPASE1		r1390		GLPASE1	MNXR100265	HMR_5398	RCR11033		0	MA_05398
HMR_5399				r1391		r1391	MNXR105467	HMR_5399	RCR11034		0	MA_05399
HMR_5400				r1392		r1392	MNXR105468	HMR_5400	RCR11035		0	MA_05400
HMR_5401				r1393		r1393		HMR_5401	RCR11036		0	MA_05401
HMR_8568			RE0958			RE0958C	MNXR103496	HMR_8568	RCR11037		0	MA_08568
HMR_8569			RE0958			RE0958E	MNXR103497	HMR_8569	RCR30247		0	MA_08569
HMR_8570			RE0951			HMR_8570		HMR_8570	RCR11038		0	MA_08570
HMR_8571			RE0951			HMR_8571		HMR_8571	RCR30248		0	MA_08571
HMR_8572			RE0944			HMR_8572; RE0944C	MNXR103495	HMR_8572	RCR11039		0	MA_08572
HMR_8573			RE0944			HMR_8573; RE0944E	MNXR101623	HMR_8573	RCR30249		0	MA_08573
HMR_8574			RE0935			HMR_8574; RE0935C	MNXR103491	HMR_8574	RCR11040		0	MA_08574
HMR_8575			RE0935			HMR_8575; RE0935E	MNXR101622	HMR_8575	RCR30250		0	MA_08575
HMR_8576			RE0926			HMR_8576; RE0926C	MNXR103488	HMR_8576	RCR11041		0	MA_08576
HMR_8577			RE0926			HMR_8577; RE0926E	MNXR101621	HMR_8577	RCR30251		0	MA_08577
HMR_8578			RE0915			HMR_8578; RE0915C	MNXR103479	HMR_8578	RCR11042		0	MA_08578
HMR_8579			RE0915			HMR_8579; RE0915E	MNXR101620	HMR_8579	RCR30252		0	MA_08579
HMR_8581			RE0905			MLTG1e		HMR_8581	RCR30253		0	MA_08581
HMR_8591		MLTG1				MLTG1	MNXR101619	HMR_8591	RCR11043		0	MA_08591
HMR_8592		MLTG1ly				MLTG1ly	MNXR101619	HMR_8592	RCR10450		0	MA_08592
HMR_8580			RE0905			HMR_8580		HMR_8580	RCR11044		0	MA_08580
HMR_8582			RE0446			HMR_8582		HMR_8582	RCR10451		0	MA_08582
HMR_8587	R00028	MALT				MALT	MNXR101350	HMR_8587	RCR10452		0	MA_08587
HMR_8589	R00028	MALTly				MALTly	MNXR101350	HMR_8589	RCR10231		0	MA_08589
HMR_8583	R01790	AMY1e				AMY1e	MNXR107171; MNXR95832	HMR_8583	RCR30254		0	MA_08583
HMR_8584		O16G2e				O16G2e	MNXR102084	HMR_8584	RCR30255		0	MA_08584
HMR_8585	R01660					HMR_8585	MNXR107111	HMR_8585	RCR11045		0	MA_08585
HMR_3944	R00289	GALUi	R00289C	r0094		GALU	MNXR100022	HMR_3944	RCR14193		0	MA_03944
HMR_4128	R00291	UDPG4E	R00291C	r0095		UDPG4E	MNXR105057	HMR_4128	RCR14194		0	MA_04128
HMR_4130		GALKr				GALK	MNXR99985	HMR_4130	RCR10453		0	MA_04130
HMR_4131	R00955	UGLT				UGLT	MNXR105090	HMR_4131	RCR14195		0	MA_04131
HMR_4132	R00955		R00955C	r0233		UGLT	MNXR105090	HMR_4132	RCR14196		0	MA_04132
HMR_4303	R00801	SUCRe	R00801C	r0194		SUCRe	MNXR104638	HMR_4303	RCR30256		0	MA_04303
HMR_4414	R01092		R01092C	r0265		GALK	MNXR99985	HMR_4414	RCR10454		0	MA_04414
HMR_4415	R01100	LACZe	R01100C	r0266		LACZe	MNXR101000	HMR_4415	RCR30497		0	MA_04415
HMR_4416	R01104		R01104C	r0627		r0627	MNXR100115	HMR_4416	RCR30257		0	MA_04416
HMR_4774	R03237		R03237C	r0610		r0610	MNXR105355; MNXR108039	HMR_4774	RCR11046		0	MA_04774
HMR_4775	R03239		R03239C	r0611		r0611	MNXR105356; MNXR108041	HMR_4775	RCR14197		0	MA_04775
HMR_4831	R01680					HMR_4831	MNXR107115	HMR_4831	RCR30498		0	MA_04831
HMR_4832	R04783		R04783C	r0737		r0737	MNXR105374; MNXR109113	HMR_4832	RCR30499		0	MA_04832
HMR_7674	R00503	UGALGTg				UGALGTg	MNXR105080	HMR_7674	RCR11047		0	MA_07674
HMR_8761	R02927	KHK3				HMR_8761	MNXR100938	HMR_8761	RCR11048		0	MA_08761
HMR_8762		FBP26				HMR_8762	MNXR99466	HMR_8762	RCR14198		0	MA_08762
HMR_8764	R06114	LACZly				LACZly	MNXR101000	HMR_8764	RCR10278		0	MA_08764
HMR_8766	R01095	GALSIDEtl				GALOR	MNXR100012	HMR_8766	RCR11049		0	MA_08766
