mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00055c"	"m00055"	""	""	""	""	""	""	""	""	"M00055"	""	"m00055c"
"m00056m"	"m00056"	""	""	""	""	""	""	""	""	"M00056"	"MNXM170116"	"m00056m"
"m00057c"	"m00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057c"
"m00057m"	"m00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057m"
"m00057p"	"m00057"	"od2coa"	"C16218"	"HMDB06529"	"CHEBI:50570"	"53477850"	"LMFA07050055"	""	""	"od2coa"	"MNXM954"	"m00057p"
"m00058c"	"m00058"	""	"C05751"	""	""	""	""	""	"HC01594"	"HC01594"	"MNXM23766"	"m00058c"
"m00059m"	"m00059"	""	"C05276"	""	"CHEBI:27537"	"46173358"	"LMFA07050024"	""	"HC01415"	"HC01415"	"MNXM784"	"m00059m"
"m00059p"	"m00059"	""	"C05276"	""	"CHEBI:27537"	"46173358"	"LMFA07050024"	""	"HC01415"	"HC01415"	"MNXM784"	"m00059p"
"m00060c"	"m00060"	""	""	""	""	""	""	""	""	"M00060"	""	"m00060c"
"m00061m"	"m00061"	""	""	""	""	""	""	""	""	"M00061"	"MNXM146674"	"m00061m"
"m00062c"	"m00062"	""	""	""	""	""	""	""	""	"M00062"	""	"m00062c"
